Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
востребованные гуманитарные профессии,746,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
профессия будущего 5,745,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
онлайн тесты на выбор профессии,744,D,commercial,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
какие профессии востребованные на 10 лет,744,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
самые востребованные профессии для девушек,739,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
профессии будущего 9 класс,738,C,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
вузы куда можно поступить с биологией,737,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
список 2 вредных профессий для досрочной,737,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
кем можно стать в будущем профессия,736,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
профессии куда можно пойти после 9 класса,736,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
образование профессии список,736,E,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
